id,name,org_type,created_at
1,Swift Carriers 1,logistics,2022-01-30 20:27:37+0000
2,Paper Industries 2,manufacturer,2025-10-03 10:22:14+0000
3,Speed Freight 3,logistics,2025-01-08 14:18:46+0000
4,Steel Industries 4,manufacturer,2021-11-10 06:49:44+0000
5,Machinery Works 5,manufacturer,2024-10-09 17:27:54+0000
6,Glass Factory 6,manufacturer,2023-07-27 09:39:54+0000
7,Machinery Fabricators 7,manufacturer,2020-01-21 04:34:57+0000
8,Rapid Distribution 8,logistics,2022-11-23 02:55:03+0000
9,Electronics Products 9,manufacturer,2020-11-13 13:21:02+0000
10,Textile Products 10,manufacturer,2022-12-04 15:11:51+0000
11,Pacific Logistics 11,logistics,2026-03-17 04:44:45+0000
12,Global Distribution 12,logistics,2020-09-01 19:46:06+0000
13,United Lines 13,logistics,2023-01-28 13:27:43+0000
14,Coastal Freight 14,logistics,2020-05-22 08:54:49+0000
15,Pacific Carriers 15,logistics,2020-09-04 21:43:15+0000
16,Central Commission 16,admin,2022-05-13 15:12:51+0000
17,United Movers 17,logistics,2021-05-20 08:22:06+0000
18,Electronics Fabricators 18,manufacturer,2025-12-20 11:30:55+0000
19,Central Board 19,admin,2025-05-26 19:24:46+0000
20,Paper Corp 20,manufacturer,2021-05-22 16:10:22+0000
21,Express Express 21,logistics,2021-11-13 07:41:38+0000
22,United Logistics 22,logistics,2021-12-12 15:03:43+0000
23,Pacific Movers 23,logistics,2023-05-31 09:00:53+0000
24,Electronics Co. 24,manufacturer,2026-02-08 11:34:04+0000
25,Glass Plant 25,manufacturer,2023-05-14 04:27:09+0000
26,Metro Office 26,admin,2022-04-02 22:53:49+0000
27,Paper Factory 27,manufacturer,2024-08-01 13:03:34+0000
28,Machinery Mills 28,manufacturer,2024-12-17 23:22:07+0000
29,Electronics Manufacturing 29,manufacturer,2024-05-02 01:02:02+0000
30,Pacific Logistics 30,logistics,2020-12-06 16:01:55+0000
31,Auto Mills 31,manufacturer,2025-01-26 23:28:51+0000
32,Furniture Co. 32,manufacturer,2023-12-25 04:19:44+0000
33,Speed Logistics 33,logistics,2025-10-14 13:36:26+0000
34,National Express 34,logistics,2026-05-21 21:30:25+0000
35,Glass Products 35,manufacturer,2020-12-12 13:55:58+0000
36,Auto Plant 36,manufacturer,2020-01-11 01:59:17+0000
37,City Council 37,admin,2026-06-25 08:01:10+0000
38,Metal Industries 38,manufacturer,2025-04-26 17:45:42+0000
39,Glass Factory 39,manufacturer,2025-03-07 00:06:36+0000
40,Plastics Manufacturing 40,manufacturer,2024-08-02 19:00:54+0000
41,County Administration 41,admin,2025-02-03 20:32:43+0000
42,Steel Industries 42,manufacturer,2023-02-01 17:48:27+0000
43,City Bureau 43,admin,2020-06-28 23:12:49+0000
44,Machinery Industries 44,manufacturer,2020-09-23 02:47:02+0000
45,United Freight 45,logistics,2026-06-21 02:36:28+0000
46,Rapid Transport 46,logistics,2025-08-11 18:35:12+0000
47,Speed Transport 47,logistics,2022-04-03 12:03:16+0000
48,Metro Distribution 48,logistics,2021-10-20 00:49:06+0000
49,National Department 49,admin,2023-05-24 15:01:19+0000
50,District Division 50,admin,2024-05-27 01:15:07+0000
51,Prime Shipping 51,logistics,2020-07-17 22:07:01+0000
52,Machinery Factory 52,manufacturer,2021-12-15 22:35:53+0000
53,Swift Freight 53,logistics,2026-01-08 04:26:46+0000
54,Prime Freight 54,logistics,2020-04-07 14:19:11+0000
55,Central Council 55,admin,2022-01-09 10:54:42+0000
56,Food Corp 56,manufacturer,2024-08-02 08:11:47+0000
57,Metal Co. 57,manufacturer,2024-11-25 05:27:16+0000
58,Pacific Haulage 58,logistics,2023-06-18 16:35:27+0000
59,Textile Mills 59,manufacturer,2023-01-05 18:20:29+0000
60,Food Works 60,manufacturer,2025-09-23 01:41:58+0000
61,National Freight 61,logistics,2020-07-07 07:36:30+0000
62,Plastics Industries 62,manufacturer,2022-02-11 13:09:36+0000
63,Pharma Plant 63,manufacturer,2021-03-11 12:44:59+0000
64,Chemical Plant 64,manufacturer,2022-02-15 02:55:07+0000
65,Central Division 65,admin,2024-09-05 19:13:46+0000
66,Glass Factory 66,manufacturer,2020-02-15 20:25:30+0000
67,National Office 67,admin,2023-06-16 16:25:43+0000
68,Prime Distribution 68,logistics,2020-07-01 04:10:21+0000
69,Steel Mills 69,manufacturer,2022-04-03 22:58:23+0000
70,Metro Department 70,admin,2023-08-07 05:43:26+0000
71,Coastal Express 71,logistics,2025-08-18 08:42:06+0000
72,Rapid Shipping 72,logistics,2022-07-10 20:08:21+0000
73,Steel Co. 73,manufacturer,2026-04-04 20:32:24+0000
74,Coastal Movers 74,logistics,2020-06-26 14:33:06+0000
75,Food Factory 75,manufacturer,2024-07-08 03:38:07+0000
76,Pharma Industries 76,manufacturer,2021-07-31 08:06:49+0000
77,Textile Corp 77,manufacturer,2023-06-08 11:41:14+0000
78,Metal Co. 78,manufacturer,2022-02-03 23:08:49+0000
79,Swift Lines 79,logistics,2020-09-11 17:07:33+0000
80,Machinery Co. 80,manufacturer,2024-06-12 05:30:17+0000
81,Chemical Corp 81,manufacturer,2025-09-11 18:23:17+0000
82,Prime Carriers 82,logistics,2023-05-14 15:55:54+0000
83,Glass Fabricators 83,manufacturer,2023-11-21 13:08:07+0000
84,Rubber Industries 84,manufacturer,2020-01-29 22:36:39+0000
85,Metro Freight 85,logistics,2020-08-15 14:42:54+0000
86,Speed Carriers 86,logistics,2021-02-15 12:40:38+0000
87,Central Bureau 87,admin,2023-02-22 01:56:13+0000
88,Food Factory 88,manufacturer,2025-12-25 19:44:20+0000
89,Rubber Factory 89,manufacturer,2020-01-25 07:19:59+0000
90,Speed Carriers 90,logistics,2025-08-23 01:50:52+0000
91,Metal Manufacturing 91,manufacturer,2022-04-01 16:00:30+0000
92,Textile Factory 92,manufacturer,2021-04-27 23:02:10+0000
93,Machinery Corp 93,manufacturer,2026-02-07 13:02:34+0000
94,Glass Fabricators 94,manufacturer,2024-04-19 06:01:51+0000
95,Direct Logistics 95,logistics,2020-10-13 18:16:20+0000
96,United Carriers 96,logistics,2020-05-16 23:20:50+0000
97,Rubber Manufacturing 97,manufacturer,2025-06-02 10:36:59+0000
98,State Division 98,admin,2024-09-10 00:16:25+0000
99,Speed Logistics 99,logistics,2020-12-13 13:55:16+0000
100,Metal Manufacturing 100,manufacturer,2024-08-22 02:09:39+0000
101,Plastics Co. 101,manufacturer,2024-09-12 15:15:26+0000
102,Auto Works 102,manufacturer,2022-08-15 17:24:30+0000
103,Metal Works 103,manufacturer,2023-01-16 16:11:24+0000
104,Electronics Industries 104,manufacturer,2023-01-03 20:11:24+0000
105,Direct Distribution 105,logistics,2025-04-12 07:52:34+0000
106,Direct Shipping 106,logistics,2021-05-19 21:00:35+0000
107,State Commission 107,admin,2020-03-18 00:12:19+0000
108,Metal Products 108,manufacturer,2026-08-27 18:57:54+0000
109,National Department 109,admin,2021-05-09 14:39:05+0000
110,Global Distribution 110,logistics,2020-04-30 07:30:56+0000
111,National Bureau 111,admin,2023-12-01 02:41:49+0000
112,Cement Corp 112,manufacturer,2021-11-23 14:23:05+0000
113,Electronics Mills 113,manufacturer,2022-10-16 20:59:06+0000
114,Textile Fabricators 114,manufacturer,2022-12-26 23:21:11+0000
115,Cargo Express 115,logistics,2022-10-25 20:19:25+0000
116,Central Department 116,admin,2021-07-08 18:58:53+0000
117,Express Logistics 117,logistics,2020-12-02 19:04:47+0000
118,Trans Movers 118,logistics,2023-09-17 19:53:11+0000
119,Speed Freight 119,logistics,2023-04-11 18:15:10+0000
120,National Department 120,admin,2020-05-17 21:41:58+0000
121,Swift Express 121,logistics,2024-07-30 21:53:26+0000
122,Coastal Shipping 122,logistics,2023-02-05 14:19:17+0000
123,Glass Products 123,manufacturer,2025-04-20 01:50:06+0000
124,Cement Industries 124,manufacturer,2026-02-14 04:46:02+0000
125,County Department 125,admin,2025-09-02 23:08:20+0000
126,Furniture Fabricators 126,manufacturer,2024-09-18 11:59:27+0000
127,Furniture Mills 127,manufacturer,2025-10-05 08:29:10+0000
128,Rapid Lines 128,logistics,2024-11-03 03:33:49+0000
129,Pharma Works 129,manufacturer,2022-08-02 02:33:31+0000
130,Furniture Co. 130,manufacturer,2025-02-27 19:57:54+0000
131,Freight Haulage 131,logistics,2023-10-05 17:49:26+0000
132,Speed Haulage 132,logistics,2026-04-05 13:15:47+0000
133,Textile Fabricators 133,manufacturer,2024-05-20 10:53:14+0000
134,Metro Movers 134,logistics,2020-10-17 03:27:14+0000
135,Pacific Shipping 135,logistics,2025-09-21 07:16:52+0000
